,ROUGE-1 F1,chapter-title,source
188,0.23039215686274508,Tess of the D'Urbervilles.chapter 15,gradesaver
189,0.22292993630573246,Tess of the D'Urbervilles.chapter 16,gradesaver
190,0.3204005006257823,Tess of the D'Urbervilles.chapter 17,gradesaver
191,0.42045454545454547,Tess of the D'Urbervilles.chapter 18,gradesaver
192,0.38441558441558443,Tess of the D'Urbervilles.chapter 19,gradesaver
193,0.39669421487603307,Tess of the D'Urbervilles.chapter 20,gradesaver
194,0.4383561643835616,Tess of the D'Urbervilles.chapter 21,gradesaver
195,0.41830065359477125,Tess of the D'Urbervilles.chapter 22,gradesaver
196,0.4342857142857143,Tess of the D'Urbervilles.chapter 23,gradesaver
197,0.33633633633633636,Tess of the D'Urbervilles.chapter 24,gradesaver
198,0.4718066743383199,Tess of the D'Urbervilles.chapter 25,gradesaver
199,0.39421338155515373,Tess of the D'Urbervilles.chapter 26,gradesaver
200,0.4195804195804196,Tess of the D'Urbervilles.chapter 27,gradesaver
201,0.42028985507246375,Tess of the D'Urbervilles.chapter 28,gradesaver
202,0.38260869565217387,Tess of the D'Urbervilles.chapter 29,gradesaver
203,0.2923076923076923,Tess of the D'Urbervilles.chapter 30,gradesaver
204,0.450946643717728,Tess of the D'Urbervilles.chapter 31,gradesaver
205,0.3429541595925297,Tess of the D'Urbervilles.chapter 32,gradesaver
206,0.3974706413730804,Tess of the D'Urbervilles.chapter 33,gradesaver
207,0.2952243125904486,Tess of the D'Urbervilles.chapter 34,gradesaver
208,0.5395189003436426,Tess of the D'Urbervilles.chapter 35,gradesaver
209,0.44807467911318555,Tess of the D'Urbervilles.chapter 36,gradesaver
210,0.514218009478673,Tess of the D'Urbervilles.chapter 37,gradesaver
211,0.47986577181208057,Tess of the D'Urbervilles.chapter 38,gradesaver
212,0.5009940357852882,Tess of the D'Urbervilles.chapter 39,gradesaver
213,0.4647887323943662,Tess of the D'Urbervilles.chapter 40,gradesaver
214,0.3527777777777778,Tess of the D'Urbervilles.chapter 41,gradesaver
